DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,accuracy,precision,recall,f1,aod-sex,aod-race,eod-sex,eod-race,spd-sex,spd-race,di-sex,di-race,fr-sex,fr-race,d2h1 (accuracy+precision+recall+f1),d2h2 (aod+eod+spd+di+fr),d2h3 (accuracy+precision+recall+f1+aod+eod+spd+di+fr),Models built,Best params
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,default,None,3.194338798522949,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.6203742203742204,0.6564551422319475,0.6706408345752608,0.6634721710283817,0.04738261810414501,0.001716777651957574,0.012872698143611583,0.0075205232972223035,0.061129876853352694,0.022292886620297048,0.09880993209410782,0.03813136458872168,0.34844074844074846,0.35925155925155927,0.34780283257076267,0.1638274094083488,0.23180371039053885,,
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",49.521647453308105,,0.558004158004158,0.558004158004158,1.0,0.7163063784360821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3432210365053685,0.0,0.18345936093378867,320.0,pareto front
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",341.76570773124695,,0.5,0.279002079002079,0.5,0.35815318921804107,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.6265396775971591,0.22360679774997896,0.3997002449331714,1280.0,pareto front
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",198.01522135734558,,0.441995841995842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9098583186889497,0.4472135954999579,0.6159411289325541,1000.0,pareto front
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",202.09762978553772,,0.5,0.279002079002079,0.5,0.35815318921804107,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.6265396775971591,0.22360679774997896,0.3997002449331714,1000.0,pareto front
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",135.94919800758362,,0.441995841995842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9098583186889497,0.4472135954999579,0.6159411289325541,500.0,pareto front
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,default,None,3.1849539279937744,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.6303534303534304,0.6490974729241877,0.6904761904761905,0.6691477484183104,0.01909507016595971,0.06190948794895615,0.05437943049381233,0.06070399687090222,0.0056516157039869785,0.0832113402141037,0.00973579111507128,0.13195170134143996,0.33970893970893973,0.32182952182952185,0.3409689762274834,0.15946097138632362,0.2266711565482932,,
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",51.07182860374451,,0.5,0.2706860706860707,0.5,0.35122740760722954,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.6320691560928294,0.22360679774997896,0.4027976126729088,320.0,pareto front
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",460.15159249305725,,0.4862092862092862,0.18045738045738047,0.3333333333333333,0.23415160507148636,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.7238270359535787,0.29814239699997197,0.4734917416629431,1280.0,pareto front
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",323.87571716308594,,0.5413721413721414,0.5413721413721414,1.0,0.7024548152144591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356795516510582,0.0,0.1907152257028061,1000.0,pareto front
